brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese,n_zeros,max_score,class
0.0,0.0,0.0,0.39,0.05,0.03,0.0,0.21,0.0,0.03,0.0,0.04,0.02,0.0,0.0,0.01,0.13,0.0,0.01,0.08,9,0.39,valid
0.01,0.01,0.03,0.04,0.01,0.02,0.02,0.03,0.09,0.56,0.0,0.0,0.01,0.02,0.0,0.01,0.06,0.08,0.0,0.0,5,0.56,invalid
0.02,0.0,0.05,0.0,0.0,0.052341568261188395,0.03,0.037658431738811594,0.04,0.22,0.05,0.0,0.01,0.07,0.0,0.03,0.35,0.01,0.03,0.0,6,0.35,invalid
0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.07,0.0,0.65,0.03,0.11,0.0,0.0,0.09,0.0,0.0,0.0,12,0.65,invalid
0.03,0.0,0.01,0.07,0.01,0.05,0.15,0.29,0.03,0.06,0.0,0.02,0.03,0.14,0.01,0.0,0.03,0.04,0.01,0.02,3,0.29,invalid
0.0,0.0,0.03,0.02,0.05,0.0,0.0,0.58,0.0,0.07,0.0,0.05,0.0,0.16,0.02,0.01,0.01,0.0,0.0,0.0,10,0.58,valid
0.0,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.07,0.08,0.0,0.03,0.0,0.01,0.0,0.02,0.72,0.0,0.0,0.0,10,0.72,invalid
0.0,0.02,0.16,0.06,0.12,0.01,0.01,0.13,0.01,0.16,0.0,0.03,0.0,0.1,0.03,0.06,0.08,0.01,0.0,0.01,4,0.16,invalid
0.11,0.03,0.0,0.05,0.0,0.03,0.0,0.38,0.03,0.07,0.0,0.0,0.0,0.09,0.06,0.05,0.08,0.0,0.0,0.02,8,0.38,invalid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,18,0.98,valid
0.0,0.01,0.03,0.34,0.12,0.04,0.0,0.02,0.07,0.0,0.05,0.08,0.07,0.02,0.0,0.06,0.07,0.0,0.01,0.01,5,0.34,valid
0.01,0.08,0.03,0.0,0.0,0.04625191307009489,0.01,0.05,0.22,0.3,0.03,0.0,0.0,0.01,0.01,0.02,0.18374808692990513,0.0,0.0,0.0,7,0.3,valid
0.02,0.02,0.03,0.08,0.07,0.04,0.01,0.07,0.01,0.2,0.07,0.01,0.0,0.21,0.0,0.01,0.12,0.01,0.01,0.01,2,0.21,valid
0.0,0.0,0.02,0.0,0.0,0.08,0.01,0.01,0.0,0.63,0.01,0.0,0.0,0.0,0.09,0.0,0.12,0.03,0.0,0.0,11,0.63,invalid
0.01,0.01,0.0,0.0,0.01,0.5,0.0,0.0,0.03,0.2,0.0,0.01,0.0,0.01,0.0,0.01,0.19,0.0,0.02,0.0,9,0.5,valid
0.0,0.01,0.02,0.21,0.0,0.03,0.0,0.2,0.01,0.08,0.01,0.01,0.02,0.14,0.02,0.08,0.11,0.0,0.02,0.03,4,0.21,valid
0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.65,0.0,0.02,0.0,0.08,0.0,0.09,0.05,0.0,0.06,0.01,0.01,0.0,9,0.65,invalid
0.0,0.0,0.01,0.02,0.01,0.03,0.01,0.74,0.0,0.03,0.0,0.03,0.01,0.02,0.0,0.01,0.03,0.0,0.01,0.04,6,0.74,invalid
0.01,0.0,0.0,0.05,0.15,0.01,0.0,0.65,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.02,0.01,8,0.65,valid
0.02,0.0,0.05,0.3,0.16,0.01,0.0,0.16,0.0,0.02,0.0,0.06,0.03,0.01,0.0,0.01,0.05,0.0,0.05,0.07,6,0.3,valid
0.01,0.07,0.0,0.0,0.01,0.09,0.01,0.01,0.07,0.04,0.01,0.0,0.0,0.04,0.0,0.01,0.63,0.0,0.0,0.0,8,0.63,invalid
0.07,0.0,0.0,0.01,0.01,0.01,0.1,0.0,0.0,0.02,0.01,0.01,0.0,0.66,0.0,0.05,0.03,0.01,0.01,0.0,7,0.66,invalid
0.02,0.04,0.06,0.0,0.0,0.4254151084517577,0.01,0.004584891548242333,0.08,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,10,0.4254151084517577,valid
0.0,0.0,0.02,0.01,0.09,0.01,0.0,0.42,0.01,0.07,0.11,0.04,0.0,0.09,0.0,0.02,0.07,0.0,0.0,0.04,7,0.42,invalid
0.0,0.01,0.0,0.08,0.09,0.01,0.0,0.35,0.0,0.06,0.01,0.05,0.06,0.07,0.01,0.01,0.14,0.0,0.03,0.02,5,0.35,valid
0.02,0.02,0.04,0.01,0.0,0.1,0.02,0.0,0.08760705752619004,0.14,0.0,0.0,0.0,0.11,0.0,0.01,0.42239294247381,0.02,0.0,0.0,8,0.42239294247381,valid
0.0,0.0,0.0,0.02,0.03,0.01,0.0,0.74,0.02,0.02,0.0,0.09,0.01,0.01,0.0,0.0,0.03,0.0,0.02,0.0,9,0.74,invalid
0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.67,0.1,0.01,0.02,0.07,0.0,0.02,0.02,0.0,0.03,0.01,0.01,0.0,6,0.67,valid
0.0,0.01,0.0,0.06,0.04,0.04,0.0,0.16,0.05,0.14,0.01,0.04,0.04,0.09,0.0,0.0,0.32,0.0,0.0,0.0,8,0.32,valid
0.0,0.02,0.0,0.03,0.02,0.02,0.0,0.71,0.01,0.03,0.02,0.05,0.0,0.02,0.01,0.0,0.05,0.0,0.0,0.01,7,0.71,invalid
0.01,0.03,0.02,0.02,0.03,0.06,0.0,0.43,0.0,0.02,0.0,0.02,0.0,0.17,0.04,0.02,0.04,0.01,0.08,0.0,5,0.43,valid
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.66,0.0,0.02,0.01,0.26,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,12,0.66,invalid
0.0,0.01,0.01,0.06,0.01,0.0,0.0,0.74,0.0,0.03,0.0,0.07,0.0,0.0,0.01,0.0,0.03,0.0,0.01,0.02,9,0.74,invalid
0.0,0.0,0.0,0.06,0.0,0.07,0.05,0.03,0.03,0.12,0.0,0.02,0.0,0.09,0.0,0.11,0.4,0.0,0.02,0.0,9,0.4,invalid
0.0,0.0,0.27,0.02,0.02,0.07,0.02,0.09,0.02,0.21,0.03,0.0,0.0,0.03,0.04,0.02,0.13,0.02,0.0,0.01,5,0.27,invalid
0.0,0.0,0.0,0.71,0.09,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.02,0.01,0.0,0.0,0.02,0.0,0.05,0.05,9,0.71,invalid
0.0,0.08,0.0,0.0,0.03,0.14,0.07,0.01,0.04,0.09,0.01,0.0,0.0,0.12,0.0,0.25,0.15,0.01,0.0,0.0,8,0.25,invalid
0.0,0.01,0.03,0.04,0.04,0.01,0.0,0.44,0.0,0.04,0.03,0.08,0.08,0.05,0.08,0.0,0.01,0.0,0.03,0.03,5,0.44,invalid
0.01,0.02,0.03,0.0,0.0,0.03,0.0,0.29,0.04,0.11,0.01,0.02,0.0,0.1,0.0,0.03,0.31,0.0,0.0,0.0,8,0.31,invalid
0.02,0.01,0.0,0.01,0.02,0.03,0.03,0.45,0.03,0.06,0.0,0.02,0.0,0.07,0.01,0.01,0.19,0.02,0.02,0.0,4,0.45,invalid
0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.89,0.0,0.02,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,13,0.89,valid
0.0,0.07,0.03,0.01,0.02,0.0,0.05,0.37,0.07,0.02,0.0,0.03,0.0,0.22,0.0,0.01,0.1,0.0,0.0,0.0,8,0.37,invalid
0.0,0.0,0.0,0.35,0.01,0.0,0.0,0.02,0.0,0.11,0.01,0.08,0.33,0.01,0.0,0.0,0.05,0.01,0.01,0.01,8,0.35,invalid
0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.06,0.0,0.5,0.0,0.0,0.01,0.04,0.08,0.0,0.0,0.07,0.0,0.01,11,0.5,invalid
0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.04,0.0,0.64,0.0,0.0,0.0,0.18,0.01,0.0,0.01,0.02,0.01,0.01,10,0.64,valid
0.02,0.0,0.01,0.01,0.02,0.16,0.09,0.08,0.02,0.13,0.0,0.0,0.0,0.12,0.01,0.0,0.32,0.0,0.0,0.01,7,0.32,valid
0.07,0.05,0.01,0.0,0.0,0.34,0.0,0.14,0.01,0.19,0.0,0.0,0.0,0.07,0.0,0.0,0.12,0.0,0.0,0.0,11,0.34,invalid
0.0,0.02,0.0,0.03,0.01,0.01,0.01,0.55,0.02,0.04,0.01,0.1,0.04,0.03,0.02,0.03,0.07,0.0,0.0,0.01,4,0.55,invalid
0.01,0.02,0.04,0.03,0.01,0.1,0.03,0.03,0.01,0.23,0.23,0.0,0.01,0.03,0.0,0.0,0.19,0.03,0.0,0.0,5,0.23,valid
0.04,0.02,0.05,0.07,0.05,0.06,0.0,0.03,0.0,0.38,0.0,0.03,0.01,0.07,0.0,0.0,0.16,0.03,0.0,0.0,7,0.38,invalid
0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.5,0.0,0.1,0.01,0.25,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.0,11,0.5,valid
0.0,0.01,0.0,0.03,0.01,0.01,0.01,0.72,0.02,0.01,0.02,0.04,0.0,0.02,0.0,0.0,0.04,0.05,0.0,0.01,6,0.72,valid
0.0,0.04,0.0,0.02,0.03,0.0,0.0,0.69,0.04,0.01,0.01,0.08,0.01,0.01,0.03,0.02,0.0,0.0,0.01,0.0,7,0.69,valid
0.0,0.0,0.0,0.03,0.02,0.02,0.0,0.65,0.0,0.03,0.0,0.18,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.0,12,0.65,valid
0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.51,0.28,12,0.51,valid
0.0,0.02,0.01,0.03,0.01,0.0,0.01,0.69,0.0,0.07,0.02,0.05,0.0,0.03,0.0,0.0,0.04,0.0,0.01,0.01,7,0.69,invalid
0.0,0.05,0.01,0.03,0.0,0.03,0.03,0.03,0.01,0.06,0.0,0.0,0.0,0.1,0.0,0.18,0.47,0.0,0.0,0.0,9,0.47,valid
0.01,0.24,0.0,0.0,0.02,0.09,0.03,0.0,0.03,0.04,0.01,0.0,0.0,0.1,0.0,0.05,0.37,0.0,0.0,0.01,8,0.37,invalid
0.02,0.0,0.01,0.02,0.12,0.0,0.02,0.3,0.0,0.03,0.02,0.02,0.02,0.27,0.03,0.0,0.04,0.0,0.04,0.04,5,0.3,invalid
0.01,0.02,0.04,0.08,0.0,0.04,0.08,0.05,0.03,0.31,0.0,0.01,0.01,0.18,0.0,0.01,0.07,0.04,0.02,0.0,4,0.31,invalid
0.01,0.01,0.01,0.04,0.01,0.12,0.01,0.0,0.016843930736948634,0.52,0.01,0.01,0.0,0.11,0.0,0.0,0.12315606926305138,0.0,0.0,0.0,7,0.52,valid
0.0,0.2,0.05,0.01,0.02,0.1,0.01,0.01,0.15,0.1,0.01,0.0,0.0,0.06,0.02,0.09,0.12,0.05,0.0,0.0,5,0.2,invalid
0.0,0.02,0.01,0.61,0.03,0.0,0.0,0.02,0.01,0.01,0.01,0.05,0.09,0.02,0.0,0.0,0.02,0.01,0.03,0.06,5,0.61,valid
0.02,0.1,0.02,0.05,0.03,0.08,0.04,0.02,0.02,0.13,0.03,0.1,0.0,0.04,0.0,0.01,0.26,0.03,0.01,0.01,2,0.26,invalid
0.03,0.06,0.01,0.0,0.03,0.04,0.0,0.15,0.01,0.11,0.0,0.06,0.02,0.2,0.0,0.06,0.18,0.0,0.02,0.02,5,0.2,invalid
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.07,0.03,0.02,0.0,0.35,0.15,0.01,0.13,0.01,0.02,0.0,8,0.35,invalid
0.1,0.0,0.0,0.0,0.03,0.02,0.01,0.49,0.0,0.02,0.02,0.18,0.01,0.04,0.0,0.0,0.05,0.01,0.02,0.0,7,0.49,invalid
0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.88,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,13,0.88,valid
0.01,0.0,0.0,0.05,0.09,0.0,0.0,0.02,0.0,0.02,0.01,0.0,0.04,0.04,0.0,0.0,0.0,0.01,0.47,0.24,9,0.47,invalid
0.0,0.0,0.0,0.01,0.0,0.06,0.04,0.0,0.0,0.85,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,12,0.85,invalid
0.02,0.0,0.0,0.04,0.01,0.0,0.0,0.16,0.0,0.01,0.01,0.01,0.02,0.17,0.04,0.0,0.03,0.01,0.43,0.04,6,0.43,valid
0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.73,0.02,0.03,0.0,0.02,0.0,0.06,0.02,0.0,0.0,0.02,0.02,0.05,9,0.73,invalid
0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.28,0.0,0.02,0.0,0.29,0.01,0.0,0.17,0.0,0.06,0.02,11,0.29,valid
0.0,0.01,0.03,0.1,0.11,0.03,0.0,0.22,0.0,0.08,0.02,0.06,0.0,0.08,0.01,0.03,0.18,0.0,0.03,0.01,5,0.22,valid
0.0,0.0,0.01,0.03,0.0,0.13,0.0,0.07,0.0,0.19,0.02,0.04,0.0,0.06,0.01,0.0,0.44,0.0,0.0,0.0,10,0.44,invalid
0.0,0.0,0.0,0.03,0.04,0.0,0.01,0.83,0.01,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.01,0.01,10,0.83,valid
0.0,0.01,0.0,0.39,0.08,0.0,0.0,0.15,0.01,0.0,0.0,0.24,0.02,0.04,0.0,0.03,0.01,0.0,0.0,0.02,9,0.39,invalid
0.01,0.0,0.0,0.02,0.0,0.02,0.0,0.86,0.0,0.01,0.0,0.02,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,11,0.86,valid
0.0,0.0,0.0,0.05,0.04,0.05,0.01,0.35,0.0,0.04,0.0,0.29,0.09,0.0,0.0,0.0,0.06,0.0,0.02,0.0,10,0.35,invalid
0.0,0.08,0.01,0.16,0.0,0.06,0.01,0.09,0.0,0.08,0.0,0.1,0.02,0.02,0.1,0.0,0.18,0.0,0.05,0.04,6,0.18,invalid
0.0,0.0,0.0,0.05,0.07,0.0,0.0,0.16,0.02,0.1,0.0,0.09,0.0,0.2,0.0,0.0,0.22,0.0,0.01,0.08,10,0.22,valid
0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.46,0.0,0.06,0.01,0.19,0.0,0.0,0.02,0.0,0.14,0.01,0.01,0.0,10,0.46,invalid
0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.86,0.02,0.02,0.0,0.04,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,10,0.86,valid
0.01,0.0,0.0,0.04,0.03,0.0,0.0,0.77,0.0,0.0,0.0,0.07,0.0,0.02,0.0,0.0,0.02,0.0,0.03,0.01,11,0.77,valid
0.0,0.01,0.01,0.14,0.0,0.02,0.0,0.52,0.0,0.02,0.0,0.18,0.0,0.0,0.0,0.02,0.06,0.02,0.0,0.0,10,0.52,invalid
0.0,0.01,0.0,0.02,0.0,0.1,0.0,0.6,0.0,0.06,0.0,0.06,0.0,0.03,0.06,0.01,0.04,0.0,0.01,0.0,9,0.6,invalid
0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.12,0.0,0.01,0.0,0.73,0.0,0.03,0.04,0.01,0.01,0.0,9,0.73,valid
0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.8,0.0,0.01,0.01,0.08,0.0,0.0,0.04,0.0,0.02,0.01,0.01,0.0,10,0.8,valid
0.0,0.1,0.04,0.0,0.02,0.09,0.0,0.0,0.04,0.21,0.0,0.02,0.0,0.06,0.0,0.04,0.33,0.02,0.0,0.03,8,0.33,invalid
0.0,0.05,0.01,0.0,0.0,0.05,0.01,0.45,0.05,0.14,0.0,0.08,0.02,0.07,0.01,0.02,0.03,0.0,0.0,0.01,6,0.45,invalid
0.02,0.0,0.0,0.0,0.05,0.29,0.02,0.19,0.0,0.12,0.02,0.02,0.0,0.11,0.0,0.0,0.13,0.02,0.01,0.0,8,0.29,valid
0.0,0.0,0.0,0.0,0.0,0.16,0.33,0.1,0.0,0.13,0.0,0.01,0.0,0.17,0.06,0.0,0.0,0.04,0.0,0.0,12,0.33,invalid
0.0,0.12,0.0,0.02,0.01,0.01,0.01,0.01,0.02,0.04,0.05,0.03,0.0,0.03,0.01,0.03,0.53,0.01,0.07,0.0,4,0.53,valid
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.64,0.0,0.01,0.0,0.06,0.04,0.01,0.0,0.0,0.07,0.0,0.0,0.05,11,0.64,valid
0.0,0.0,0.01,0.0,0.0,0.1251567635574522,0.06,0.05484323644254782,0.04,0.13,0.0,0.01,0.01,0.09,0.0,0.0,0.46,0.01,0.0,0.0,9,0.46,invalid
0.0,0.0,0.01,0.02,0.03,0.0,0.28,0.03,0.0,0.08,0.0,0.03,0.0,0.47,0.01,0.0,0.01,0.02,0.0,0.01,8,0.47,invalid
0.02,0.06,0.0,0.0,0.1,0.02,0.02,0.03,0.06,0.13,0.0,0.04,0.0,0.09,0.0,0.06,0.37,0.0,0.0,0.0,8,0.37,valid
0.0,0.0,0.0,0.22,0.03,0.02,0.0,0.06,0.01,0.14,0.03,0.12,0.11,0.08,0.0,0.01,0.1,0.0,0.04,0.03,6,0.22,invalid
0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.92,0.0,0.0,0.0,0.01,0.0,0.0,14,0.92,valid
0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.77,0.0,0.01,0.0,0.08,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.01,10,0.77,valid
0.0,0.0,0.01,0.0,0.0,0.01,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.71,0.01,0.01,0.16,0.0,0.0,0.0,12,0.71,valid
0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.66,0.02,0.0,0.0,0.06,0.01,0.03,0.05,0.02,0.07,0.0,0.03,0.0,8,0.66,valid
0.01,0.0,0.01,0.04,0.03,0.04,0.0,0.56,0.0,0.05,0.01,0.02,0.01,0.0,0.02,0.03,0.08,0.02,0.02,0.05,4,0.56,valid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,15,0.94,invalid
0.0,0.04,0.01,0.02,0.01,0.17,0.04,0.0,0.0,0.35,0.0,0.01,0.01,0.01,0.09,0.02,0.17,0.05,0.0,0.0,6,0.35,invalid
0.02,0.01,0.01,0.01,0.04,0.02,0.03,0.43,0.02,0.05,0.04,0.0,0.0,0.07,0.0,0.04,0.21,0.0,0.0,0.0,6,0.43,invalid
0.0,0.02,0.06,0.01,0.01,0.31,0.0,0.17,0.01,0.14,0.03,0.0,0.0,0.02,0.0,0.01,0.2,0.01,0.0,0.0,7,0.31,invalid
0.01,0.06,0.07,0.01,0.01,0.05,0.0,0.07,0.15877658454411456,0.18,0.01,0.01,0.0,0.02,0.0,0.12,0.22122341545588545,0.0,0.0,0.0,6,0.22122341545588545,invalid
0.0,0.02,0.05,0.0,0.0,0.16,0.01,0.02,0.0,0.2,0.16,0.0,0.0,0.11,0.0,0.03,0.22,0.02,0.0,0.0,9,0.22,invalid
0.04,0.0,0.02,0.04,0.0,0.05,0.01,0.3,0.04,0.15,0.04,0.01,0.0,0.15,0.01,0.01,0.11,0.02,0.0,0.0,5,0.3,invalid
0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.06,0.0,0.02,0.05,0.01,0.0,0.0,13,0.81,valid
0.0,0.01,0.0,0.0,0.0,0.1,0.02,0.05,0.01,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.67,0.0,0.0,11,0.67,valid
0.0,0.0,0.03,0.49,0.14,0.0,0.02,0.05,0.01,0.01,0.01,0.08,0.03,0.03,0.0,0.01,0.03,0.0,0.03,0.03,5,0.49,invalid
0.01,0.03,0.0,0.0,0.01,0.02,0.0,0.66,0.08,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.13,0.01,0.0,0.01,8,0.66,valid
0.0,0.0,0.01,0.02,0.03,0.13,0.0,0.08,0.03,0.08,0.04,0.25,0.03,0.1,0.07,0.0,0.08,0.0,0.02,0.03,5,0.25,invalid
0.02,0.01,0.03,0.01,0.0,0.08,0.03,0.0,0.04,0.66,0.0,0.0,0.01,0.02,0.0,0.0,0.04,0.04,0.0,0.01,7,0.66,valid
0.01,0.02,0.1,0.07,0.03,0.05,0.0,0.06,0.01,0.07,0.02,0.06,0.02,0.1,0.01,0.05,0.26,0.05,0.0,0.01,2,0.26,invalid
0.0,0.03,0.0,0.04,0.02,0.02,0.04,0.45,0.02,0.03,0.01,0.03,0.04,0.02,0.0,0.0,0.24,0.01,0.0,0.0,6,0.45,valid
0.01,0.03,0.0,0.0,0.0,0.2123415682611884,0.0,0.027658431738811596,0.0,0.32,0.0,0.01,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,13,0.39,valid
0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.78,0.01,0.01,0.0,0.05,0.01,0.01,0.0,0.0,0.1,0.0,0.0,0.0,12,0.78,valid
0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.57,0.0,0.21,0.0,0.0,0.0,0.04,0.01,0.0,0.07,0.0,0.01,0.01,11,0.57,valid
0.16,0.0,0.01,0.0,0.22,0.0,0.0,0.29,0.0,0.03,0.07,0.09,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,11,0.29,valid
0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.15,0.0,0.45,0.0,0.02,0.01,0.17,0.0,0.0,0.11,0.02,0.0,0.0,7,0.45,valid
0.0,0.03,0.03,0.02,0.0,0.02,0.02,0.06,0.06,0.12,0.1,0.0,0.01,0.28,0.0,0.08,0.16,0.01,0.0,0.0,6,0.28,valid
0.0,0.17,0.01,0.0,0.07,0.0,0.06,0.02,0.17,0.1,0.01,0.01,0.02,0.07,0.0,0.1,0.19,0.0,0.0,0.0,7,0.19,invalid
0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.62,0.02,0.01,0.0,0.03,0.0,0.05,0.01,0.03,0.16,0.0,0.0,0.0,7,0.62,invalid
0.0,0.0,0.0,0.24,0.16,0.0,0.0,0.05,0.0,0.03,0.07,0.19,0.07,0.09,0.0,0.0,0.0,0.0,0.06,0.04,10,0.24,invalid
0.02,0.03,0.01,0.0,0.03,0.24,0.06,0.0,0.0,0.25,0.08,0.02,0.0,0.07,0.0,0.0,0.18,0.0,0.01,0.0,8,0.25,invalid
0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.84,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.05,0.0,0.0,0.0,11,0.84,valid
0.01,0.02,0.03,0.06,0.35,0.0,0.0,0.17,0.03,0.02,0.03,0.01,0.06,0.05,0.0,0.06,0.04,0.0,0.01,0.05,4,0.35,invalid
0.0,0.01,0.01,0.02,0.02,0.01,0.0,0.05,0.01,0.22,0.0,0.0,0.0,0.58,0.0,0.0,0.06,0.0,0.0,0.01,9,0.58,invalid
0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.77,0.0,0.09,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.0,0.01,0.02,12,0.77,valid
0.08,0.03,0.01,0.05,0.08,0.32,0.06,0.04,0.0,0.12,0.0,0.04,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.02,7,0.32,invalid
0.01,0.0,0.03,0.02,0.09,0.03,0.0,0.09,0.0,0.38,0.0,0.03,0.0,0.19,0.02,0.0,0.05,0.0,0.04,0.02,7,0.38,invalid
0.02,0.0,0.01,0.0,0.15,0.0,0.0,0.43,0.02,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.13,0.12,0.0,0.04,10,0.43,valid
0.0,0.0,0.0,0.28,0.08,0.0,0.0,0.09,0.0,0.01,0.03,0.03,0.15,0.02,0.01,0.01,0.0,0.0,0.18,0.11,8,0.28,valid
0.01,0.2,0.0,0.0,0.0,0.06,0.0,0.02,0.1,0.31,0.0,0.04,0.0,0.05,0.01,0.0,0.15,0.0,0.05,0.0,9,0.31,valid
0.02,0.08,0.0,0.0,0.02,0.22,0.04,0.16,0.0,0.15,0.02,0.02,0.01,0.08,0.02,0.0,0.14,0.02,0.0,0.0,6,0.22,invalid
0.01,0.0,0.0,0.0,0.01,0.04,0.0,0.56,0.0,0.03,0.02,0.26,0.0,0.03,0.0,0.0,0.03,0.0,0.01,0.0,10,0.56,valid
